# Time-averaged data for fix fixflux1
# TimeStep v_tempt1v v_tempt2v f_fix1 f_fix2 v_Jz1 v_Jzk1 v_Jzp1 v_Jzb1 v_Jza1 v_Jzd1 v_Jzi1 v_Jzks1
1100000 245.547 193.506 -120.439 -2.58886 4.01217e-09 3.90968e-09 3.52777e-09 7.50599e-10 1.50067e-09 1.99846e-09 1.98907e-09 1.93281e-09
1110000 242.802 197.438 -117.073 16.7005 -9.73638e-10 -3.89593e-09 4.66748e-11 -1.06316e-09 -1.44735e-09 -1.60735e-09 -1.69438e-09 -1.73757e-09
1120000 238.934 193.963 -82.8228 3.0604 -3.01637e-09 2.64521e-09 -1.3923e-09 -2.33961e-09 1.54402e-09 1.33979e-09 1.25241e-09 1.21318e-09
1130000 234.41 198.181 -108.489 1.99435 1.74631e-09 -3.84539e-09 -1.84906e-09 3.38972e-09 -9.61475e-10 -1.70402e-09 -1.72751e-09 -1.68881e-09
1140000 247.565 196.994 -103.578 5.64376 -7.61768e-09 4.53187e-10 -1.22265e-10 -4.63291e-09 -2.5068e-09 4.6106e-10 3.38515e-10 3.21694e-10
1150000 246.126 194.239 -98.0844 0.325475 3.33339e-09 -1.28322e-10 2.04361e-09 -5.09477e-10 2.13311e-09 1.67633e-10 1.68142e-10 1.08262e-10
1160000 240.548 195.606 -97.5561 7.56709 -4.2918e-11 -2.37858e-09 -2.01559e-09 1.7242e-09 -9.33063e-10 -1.51135e-09 -1.32732e-09 -1.27976e-09
1170000 236.599 191.13 -105.276 -12.3902 7.95947e-09 9.56004e-09 6.20629e-09 -4.97486e-10 6.19343e-09 4.31219e-09 4.37141e-09 4.43728e-09
1180000 243.307 187.841 -104.284 7.38464 -9.02698e-09 -4.18513e-09 -5.11473e-09 -2.47694e-09 -3.31108e-09 -2.53897e-09 -2.20344e-09 -2.16066e-09
1190000 237.309 198.481 -101.213 1.85848 5.44519e-09 4.07747e-09 3.23916e-09 1.65059e-09 2.17665e-09 2.10754e-09 1.99629e-09 1.9605e-09
1200000 240.468 191.751 -104.773 15.2012 4.75926e-09 -2.58466e-09 -2.3775e-09 4.31952e-09 5.95558e-10 -1.68853e-09 -1.6443e-09 -1.62783e-09
1210000 236.583 198.38 -93.8315 6.97366 3.45624e-09 1.78452e-09 2.84286e-09 -6.20128e-10 2.13698e-09 6.48122e-10 8.25028e-10 8.32228e-10
1220000 242.088 198.01 -122.966 22.6178 9.1427e-09 -5.76535e-10 -3.2108e-10 6.69891e-09 1.68258e-09 -3.0689e-10 -4.23412e-10 -4.77823e-10
1230000 241.807 197.164 -98.2153 21.172 -6.30857e-09 -1.75487e-09 -2.5811e-09 -2.26449e-09 -2.70989e-09 -9.64027e-10 -9.32043e-10 -9.79567e-10
1240000 239.777 196.138 -115.048 14.1788 -3.67729e-09 1.34887e-09 1.08353e-10 4.43157e-10 -2.97816e-09 5.01084e-10 7.51713e-10 7.70461e-10
1250000 239.499 195.223 -115.721 -7.99076 -3.3096e-09 -6.39817e-10 -1.73573e-09 -8.09825e-10 -2.30034e-09 -1.02586e-09 -9.5238e-10 -8.3087e-10
1260000 237.79 200.164 -114.04 6.88944 3.82828e-09 -9.54247e-10 1.22459e-09 2.64498e-09 1.92727e-09 -3.82806e-10 2.32053e-11 1.30943e-10
1270000 241.898 194.401 -112.368 20.3176 3.04918e-09 -4.40272e-10 -3.60753e-10 1.8463e-09 1.64447e-09 -4.06308e-10 -2.56286e-10 -2.04406e-10
1280000 239.571 196.094 -114.864 4.58917 2.86273e-09 4.84918e-10 1.05675e-09 1.32511e-09 1.38223e-09 2.80612e-11 2.83869e-10 3.39641e-10
1290000 237.47 198.247 -102.938 34.0425 9.29118e-10 -1.26534e-09 7.06722e-10 -5.4636e-10 9.4239e-10 -4.63315e-10 -4.72415e-10 -4.05486e-10
